"","Date","std","type","lbs","oz","weights_lbs"
"93",2018-10-17,"20 15.6","Simone","10","13",10.8125
"94",2018-10-17,"20 15.6","Gagne","10","13",10.8125
"95",2018-10-18,"20 15.6","Raisin","18","14",18.875
"96",2018-10-18,"20 15.6","Simone","10","12",10.75
"97",2018-10-18,"20 15.6","Gagne","10","13",10.8125
"98",2018-10-23,"20 15.6","Raisin","18","08",18.5
"99",2018-10-23,"20 15.6","Simone","10","08",10.5
"100",2018-10-23,"20 15.6","Gagne","10","08",10.5
"101",2018-10-24,"20 15.6","Raisin","18","07",18.4375
"102",2018-10-24,"20 15.6","Simone","10","12",10.75
"103",2018-10-24,"20 15.6","Gagne","10","09",10.5625
"104",2018-10-31,"20 15.6","Raisin","18","07",18.4375
"105",2018-10-31,"20 15.6","Simone","10","10",10.625
"106",2018-10-31,"20 15.6","Gagne","10","12",10.75
"107",2018-11-06,"20 15.6","Raisin","18","07",18.4375
"108",2018-11-06,"20 15.6","Simone","10","08",10.5
"109",2018-11-06,"20 15.6","Gagne","10","12",10.75
"110",2019-01-17,"20 15.4","Raisin","17","13",17.8125
"111",2019-01-17,"20 15.4","Simone","10","06",10.375
"112",2019-01-17,"20 15.4","Gagne","10","06",10.375
"113",2020-06-09,"20 15.6","Raisin","18","07",18.4375
"114",2020-06-09,"20 15.6","Simone","10","08",10.5
"115",2020-08-02,"20 15.6","Raisin","18","09",18.5625
"116",2020-08-02,"20 15.6","Simone","10","10",10.625
"117",2020-10-24,"20 15.6","Raisin","17","11",17.6875
"118",2020-11-10,"20 15.6","Raisin","16","14",16.875
"119",2020-12-05,"20 15.6","Raisin","16","07",16.4375
"120",2020-12-05,"20 15.6","Simone","9","15",9.9375
"121",2021-02-02,"20 15.4","Raisin","16","12",16.75
"122",2021-02-02,"20 15.4","Simone","8","11",8.6875
"123",2021-06-04,"20 16.6","Raisin","17","09",17.5625
"124",2021-06-04,"20 16.6","Simone","9","07",9.4375
"125",2022-04-25,"20.154","Raisin","17","10",17.625
"126",2022-04-25,"20.154","Simone","8","08",8.5
